wn_synset	babelnet_id	pos	lemmata en	lemmata es	definition	confidence	dist_from_music	dist_from_entity	ANNOTATION
wn:11040024n	bn:00043692n	n	Hendrix, Jimi_Hendrix, James_Marshall_Hendrix	hendrix, james_marshall_hendrix, jimi_hendrix, johnny_allen_hendrix	United States guitarist whose innovative style with electric guitars influenced the development of rock music (1942-1970)	0.619	12	8	NO
wn:11395773n	bn:00071810n	n	Wood, Sir_Henry_Wood, Sir_Henry_Joseph_Wood	henry_j._wood, henry_j_wood, henry_joseph_wood, henry_wood	English conductor (1869-1944)	0.664	12	8	NO
wn:11248599n	bn:00043731n	n	Purcell, Henry_Purcell	henry_poller, henry_purcell, purcell	English organist at Westminster Abbey and composer of many theatrical pieces (1659-1695)	0.435	12	8	NO
wn:00950858n	bn:00044092n	n	high_technology, high_tech	high_tech, alta_tecnología, última_tecnología	highly advanced technological development (especially in electronics)	0.01	11	9	NO
wn:00538791n	bn:00044117n	n	highland_fling	highland_fling, danza de las espadas	a vigorous Scottish reel	1.0	15	13	YES
wn:07048928n	bn:00004526n	n	anthem	himno	a song of devotion or loyalty (as to a nation or school)	0.461	3	7	YES
wn:07035870n	bn:00004527n	n	hymn, anthem	himno, hymnus	a song of praise (to God or to a saint or to a nation)	0.196	4	7	YES
wn:07049291n	bn:00076787n	n	The_Star-Spangled_Banner	himno_de_estados_unidos, star_spangled_banner, the_star-spangled_banner, the_star_spangled_banner, himno_nacional_de_los_estados_unidos	a poem written by Francis Scott Key during the War of 1812 was set to music and adopted by Congress in 1931 as the national anthem of the United States	0.276	5	9	NO
wn:07049205n	bn:00053539n	n	Marseillaise	himno_de_francia, la_marsellesa, himno_nacional_francés	the French national anthem	0.262	5	9	YES
wn:07049055n	bn:00056917n	n	national_anthem	himno_nacional, himno	a song formally adopted as the anthem for a nation	0.24	4	8	YES
wn:11050870n	bn:00044172n	n	Hindemith, Paul_Hindemith	hindemith, paul_hindemith	German neoclassical composer and conductor who believed that music should have a social purpose (1895-1963)	0.552	12	8	NO
wn:07064055n	bn:00044202n	n	rap, rap_music, hip-hop	hip_hop, rap, música_hip_hop	genre of African-American music of the 1980s and 1990s in which rhyming lyrics are chanted to a musical accompaniment; several forms of rap have emerged	0.679	3	6	YES
wn:05127640n	bn:00050180n	n	latitude	holgura	scope for freedom of e.g. action or thought; freedom from restriction	0.333	9	7	NO
wn:10111023n	bn:00036399n	n	freeman, freewoman	hombre_libre	a person who is not a serf or a slave	0.262	10	6	NO
wn:07031144n	bn:00044604n	n	homophony	homofonía, homofónica	part music with one dominant voice (in a homophonic style)	0.769	2	6	YES
wn:01543937a	bn:00104295a	a	homophonic	homófono, homofónico	having a single melodic line with accompaniment	1.0	99	99	YES
wn:07055720n	bn:00044803n	n	hornpipe	hornpipe	music for dancing the hornpipe	0.566	2	6	YES
wn:07122639n	bn:00044886n	n	hosanna	hosanna	a cry of praise or adoration (to God)	0.233	4	6	YES
wn:07063775n	bn:00044937n	n	hot_jazz	hot_jazz	jazz that is emotionally charged and intense and marked by strong rhythms and improvisation	0.724	4	7	YES
wn:11123262n	bn:00045116n	n	Ledbetter, Huddie_Leadbetter, Leadbelly	huddie_leadbetter, huddie_william_ledbetter, lead_belly, leadbelly, ledbetter, lead_belly,_folk_singer_and_composer	United States folk singer and composer (1885-1949)	0.549	12	8	NO
wn:11394398n	bn:00045139n	n	Wolf, Hugo_Wolf	hugo_wolf, wolf	Austrian composer (1860-1903)	0.527	12	8	NO
wn:06781811n	bn:00067697n	n	ribaldry	humor_obsceno, obscenidad	ribald humor	0.111	5	5	NO
wn:05763412n	bn:00045825n	n	identity	identidad	the individual characteristics by which a thing or person is recognized or known	0.25	10	8	NO
wn:07201804n	bn:00017758n	n	word_picture, word-painting, delineation, depiction, picture, characterization, characterisation	imagen, retrato_hablado, retrato, delineación, descripción, representación, caracterización, descripción_verbal	a graphic or vivid verbal description	0.626	6	6	NO
wn:06656274n	bn:00045635n	n	hypothetical_imperative	imperativo_hipotético	a principle stating the action required to attain a desired goal	0.0	7	7	NO
wn:07239788n	bn:00046185n	n	impromptu	impromptu	an extemporaneous speech or remark	0.0	9	7	NO
wn:07239927n	bn:00046186n	n	impromptu	impromptu	a short musical passage that seems to have been made spontaneously without advance preparation	0.333	3	7	YES
wn:00099588n	bn:00032406n	n	extemporization, extemporisation, improvisation	improvisación	a performance given extempore without planning or preparation	0.349	13	11	YES
wn:07032206n	bn:00079528n	n	vamp	improvisación	an improvised musical accompaniment	1.0	4	8	YES
wn:10322238n	bn:00055297n	n	misfit	inadaptado	someone unable to adapt to their circumstances	0.909	9	5	NO
wn:01502099a	bn:00112965a	a	unmelodious, unmelodic, unmusical	inarmónico	lacking melody	1.0	99	99	YES
wn:13284784n	bn:00049071n	n	kickback	incentivo, soborno	a commercial bribe paid by a seller to a purchasing agent in order to induce the agent to enter into the transaction	0.333	11	9	NO
wn:13978033n	bn:00046283n	n	incident	incidente	a public disturbance	0.5	8	6	NO
wn:00949619n	bn:00030858n	n	technology, engineering	ingeniería, tecnología, ingeniería_de_audio, ingeniería_de_sonido	the practical application of science to commerce or industry	0.572	10	8	NO
wn:00949948n	bn:00001691n	n	aeronautical_engineering	ingeniería_aeronáutica	the activity of designing and constructing aircraft	0.5	11	9	NO
wn:00950217n	bn:00018108n	n	chemical_engineering	ingeniería_química	the activity of applying chemistry to the solution of practical problems	0.333	11	9	NO
wn:07038910n	bn:00046980n	n	instrumentation	instrumentación	the instruments called for in a musical score or arrangement for a band or orchestra	0.8	3	7	YES
wn:01707925v	bn:00089794v	v	instrument, instrumentate	instrumentar	write an instrumental score for	1.0	99	99	YES
wn:10340312n	bn:00046975n	n	musician, instrumentalist, player	instrumentista, músico	someone who plays a musical instrument (as a profession)	0.616	10	6	YES
wn:03614532n	bn:00049008n	n	keyboard_instrument	instrumento_de_teclado, teclado	a musical instrument that is played by means of a keyboard	0.672	12	8	YES
wn:03279153n	bn:00030254n	n	electronic_instrument, electronic_musical_instrument	instrumento_musical_electrónico	a musical instrument that generates sounds electronically	0.507	12	8	YES
wn:07040292n	bn:00047125n	n	intermezzo	intermezzo	a short movement coming between the major sections of a symphony	1.0	3	7	YES
wn:07039620n	bn:00047126n	n	intermezzo	intermezzo	a short piece of instrumental music composed for performance between acts of a drama or opera	0.66	2	6	YES
wn:05126611n	bn:00047168n	n	internationality, internationalism	internacionalidad, internacionalismo	quality of being international in scope	1.0	9	7	NO
wn:01726172v	bn:00091713v	v	play	interpretar, tocar	perform music on (a musical instrument)	0.909	99	99	YES
wn:10240715n	bn:00049444n	n	koto_player	intérprete_de_koto	a musician who plays the koto	0.667	11	7	YES
wn:07045245n	bn:00047288n	n	intro	intro, introducción	a brief introductory passage to a piece of popular music	0.717	3	7	YES
wn:07030174n	bn:00047344n	n	inversion	inversión, inversión_musical	(counterpoint) a variation of a melody or part in which ascending intervals are replaced by descending intervals and vice versa	0.762	4	8	YES
wn:00387153v	bn:00089882v	v	invert	invertir	make an inversion (in a musical composition)	1.0	99	99	YES
wn:03584254n	bn:00047435n	n	iPod	ipod	(trademark) a pocket-sized device used to play music files	0.667	14	10	YES
wn:10847454n	bn:00010026n	n	Berlin, Irving_Berlin, Israel_Baline	irving_berlin, israel_isidore_baline	United States songwriter (born in Russia) who wrote more than 1500 songs and several musical comedies (1888-1989)	0.391	13	9	NO
wn:11316828n	bn:00047581n	n	Stern, Isaac_Stern	isaac_stern, stern	United States concert violinist (born in Russia in 1920)	0.487	12	8	NO
wn:11070531n	bn:00045694n	n	Ibert, Jacques_Francois_Antoine_Ibert	jacques_francois_antoine_ibert, jacques_ibert, jacques_françois_antoine_ibert	French composer (1890-1962)	0.393	12	8	NO
wn:11212534n	bn:00047870n	n	Offenbach, Jacques_Offenbach	jacques_offenbach	French composer of many operettas and an opera (1819-1880)	0.465	12	8	NO
wn:11078650n	bn:00047889n	n	Jagger, Mick_Jagger, Michael_Philip_Jagger	jagger, michael_philip_jagger, michael_phillip_jagger, mick_jagger	English rock star (born in 1943)	0.489	13	9	NO
wn:00102374n	bn:00047902n	n	jam_session	jam_session	an impromptu jazz concert	0.812	12	10	YES
wn:11167952n	bn:00053977n	n	McCartney, Paul_McCartney, Sir_James_Paul_McCartney	james_paul_mccartney, mccartney, paul_mccartney, sir_james_paul_mccartney	English rock star and bass guitarist and songwriter who with John Lennon wrote most of the music for the Beatles (born in 1942)	0.558	13	9	NO
wn:11299367n	bn:00048086n	n	Sibelius, Jean_Sibelius, Johan_Julius_Christian_Sibelius	jan_sibelius, jean_sibelius, johan_julius_christian_sibelius, sibelius	Finnish composer (1865-1957)	0.464	12	8	NO
wn:11091545n	bn:00047971n	n	Joplin, Janis_Joplin	janis_joplin	United States singer who died of a drug overdose at the height of her popularity (1943-1970)	0.479	12	8	NO
wn:03603722n	bn:00048516n	n	jug	jarra, jarro	a large bottle with a narrow mouth	0.406	13	9	NO
wn:07062697n	bn:00048065n	n	jazz	jazz	a genre of popular music that originated in New Orleans around 1900 and developed through increasingly complex styles	0.755	3	6	YES
wn:07063921n	bn:00055474n	n	modern_jazz, new_jazz, neo_jazz	jazz_moderno, neojazz	any of various styles of jazz that appeared after 1940	0.816	4	7	YES
wn:02019881a	bn:00105523a	a	jazzy	jazzístico, ritmo_de_jazz	resembling jazz (especially in its rhythm)	0.75	99	99	YES
wn:10220486n	bn:00048069n	n	jazz_musician, jazzman	jazzman, músico_de_jazz	a musician who plays or composes jazz music	1.0	11	7	YES
wn:11144860n	bn:00040381n	n	Lully, Jean_Baptiste_Lully, Lulli, Giambattista_Lulli	jean-baptiste_lully, jean_baptiste_lully	French composer (born in Italy) who was the court composer to Louis XIV and founded the national French opera (1632-1687)	0.443	12	8	NO
wn:11252915n	bn:00048077n	n	Rameau, Jean-Philippe_Rameau	jean-philippe_rameau, rameau	French composer of operas whose writings laid the foundation for the modern theory of harmony (1683-1764)	0.47	12	8	NO
wn:11193058n	bn:00034094n	n	Morton, Jelly_Roll_Morton, Ferdinand_Joseph_La_Menthe_Morton	jelly_rol_morton, jelly_roll_morton, morton, ferdinand_joseph_la_menthe_morton, jellyroll_morton_[plausible_misspelling]	United States jazz musician who moved from ragtime to New Orleans jazz (1885-1941)	0.531	12	8	NO
wn:11132768n	bn:00048119n	n	Lind, Jenny_Lind, Swedish_Nightingale	jenny_goldschmidt, jenny_lind-goldschmidt, jenny_lind	Swedish soprano who toured the United States under the management of P. T. Barnum (1820-1887)	0.313	13	9	NO
wn:11102353n	bn:00048139n	n	Kern, Jerome_Kern, Jerome_David_Kern	jerome_david_kern, jerome_kern, kern	United States composer of musical comedies (1885-1945)	0.404	12	8	NO
wn:11131358n	bn:00048143n	n	Lewis, Jerry_Lee_Lewis	jerry_lee_lewis	United States rock star singer and pianist (born in 1935)	0.507	12	8	NO
wn:11209428n	bn:00048159n	n	Norman, Jessye_Norman	jessye_norman	United States operatic soprano (born in 1945)	0.688	13	9	NO
wn:11085267n	bn:00048234n	n	Joachim, Joseph_Joachim	joachim, joseph_joachim, joaquín	Hungarian violinist and composer (1831-1907)	0.525	12	8	NO
wn:11325867n	bn:00025103n	n	Sutherland, Joan_Sutherland, Dame_Joan_Sutherland	joan_sutherland, sutherland	Australian operatic soprano (born in 1926)	0.67	13	9	NO
wn:11214153n	bn:00048433n	n	Oliver, Joseph_Oliver, King_Oliver	joe_king_oliver, joe_oliver, king_oliver, oliverio, oliver	United States jazz musician who influenced the style of Louis Armstrong (1885-1938)	0.552	12	8	NO
wn:11321296n	bn:00048286n	n	Strauss, Johann_Strauss, Strauss_the_Elder	johann_strauss, strauss_padre, strauss	Austrian composer of waltzes (1804-1849)	1.0	12	8	NO
wn:10878530n	bn:00014576n	n	Cage, John_Cage, John_Milton_Cage_Jr.	john_cage, john_milton_cage_jr., john_milton_cage	United States composer of avant-garde music (1912-1992)	0.371	12	8	NO
wn:11126783n	bn:00048320n	n	Lennon, John_Lennon	john_lennon, john_ono_lennon, john_winston_lennon, john_winston_ono_lennon, lennon	English rock star and guitarist and songwriter who with Paul McCartney wrote most of the music for the Beatles (1940-1980)	0.455	13	9	NO
wn:11308988n	bn:00048337n	n	Sousa, John_Philip_Sousa, March_King	john_philip_sousa, john_phillip_sousa, rey_de_la_marcha, sousa	a United States bandmaster and composer of military marches (1854-1932)	0.355	12	8	NO
wn:03603199n	bn:00048410n	n	juke, jook, juke_joint, jook_joint, juke_house, jook_house	jook_joint, juke_joint, cantina_con_gramola	a small roadside establishment in the southeastern United States where you can eat and drink and dance to music provided by a jukebox	0.649	14	10	YES
wn:10938199n	bn:00028180n	n	Domingo, Placido_Domingo	jose_placido_domingo_embil, placido_domingo_embill, placido_domingo_embil, placido_domingo, plácido_domingo, plácido_domingo_embil, plácido_domingo_embill, josé_plácido_domingo_embil	Spanish operatic tenor noted for performances in operas by Verdi and Puccini (born in 1941)	0.508	13	9	NO
wn:10221656n	bn:00037607n	n	jewel, gem	joya	a person who is as brilliant and precious as a piece of jewelry	0.524	8	4	NO
wn:15250312n	bn:00048476n	n	jubilee	jubileo	a special anniversary (or the celebration of it)	0.459	10	8	NO
wn:15250468n	bn:00026852n	n	diamond_jubilee	jubileo_de_diamante	an anniversary celebrating the passage of 60 years	0.5	11	9	NO
wn:10226219n	bn:00048514n	n	Judith	judith, юдифь	Jewish heroine in one of the books of the Apocrypha; she saved her people by decapitating the Assyrian general Holofernes	0.608	11	7	NO
wn:03440682n	bn:00040696n	n	glockenspiel, orchestral_bells	juego_de_timbres, lira, campanólogo, armónica_de_metal	a percussion instrument consisting of a set of graduated metal bars mounted on a frame and played with small hammers	0.718	13	9	YES
wn:08249608n	bn:00048518n	n	jug_band	jug_band, grupo_de_instrumentos_informales	a musical group that uses jugs and washboards and kazoos and other improvised instruments	0.667	9	7	YES
wn:07049849n	bn:00055219n	n	minstrelsy	juglaría, juglería	ballads sung by minstrels	1.0	4	8	YES
wn:11163709n	bn:00048542n	n	Massenet, Jules_Emile_Frederic_Massenet	jules_emile_frederic_massenet, jules_massenet, massenet, jules_emile_fredéric_massenet, jules_emile_frédéric_massenet, jules_émile_frederic_massenet, jules_émile_fredéric_massenet, jules_émile_frédéric_massenet	French composer best remembered for his pop operas (1842-1912)	0.585	12	8	NO
wn:11070855n	bn:00045873n	n	Iglesias, Julio_Iglesias	julio_iglesias, julio_josé_iglesias_de_la_cueva	Spanish singer noted for his ballads and love songs (born in 1943)	0.377	12	8	NO
wn:09826074n	bn:00007443n	n	avenger, retaliator	justiciero, vengadora, vengador, vindicador	someone who takes vengeance	0.375	11	7	NO
wn:01255302n	bn:00048797n	n	karaoke	karaoke	singing popular songs accompanied by a recording of an orchestra (usually in bars or nightclubs)	0.237	11	9	YES
wn:11076965n	bn:00047836n	n	Jackson, Michael_Jackson, Michael_Joe_Jackson	king_of_pop, michael_jackson, michael_joe_jackson, michael_joseph_jackson, mj, rey_del_pop, discografía_de_michael_jackson	United States singer who began singing with his four brothers and later became a highly successful star during the 1980s (born in 1958)	0.405	12	8	NO
wn:11334773n	bn:00025104n	n	Te_Kanawa, Dame_Kiri_Te_Kanawa, Dame_Kiri_Janette_Te_Kanawa	kiri_te_kanawa	New Zealand operatic soprano (born in 1944)	0.585	13	9	NO
wn:07330560n	bn:00049229n	n	kismet, kismat	kismat, kismet	(Islam) the will of Allah	0.315	8	6	NO
wn:00134099n	bn:00048858n	n	knockout, KO, kayo	ko, nocaut	a blow that renders the opponent unconscious	0.474	12	10	NO
wn:03628215n	bn:00049443n	n	koto	koto	Japanese stringed instrument that resembles a zither; has a rectangular wooden sounding board and usually 13 silk strings that are plucked with the fingers	0.484	13	9	YES
wn:11109970n	bn:00049448n	n	Koussevitzky, Serge_Koussevitzky, Sergei_Aleksandrovich_Koussevitzky	koussevitzky, kusevitski, serge_koussevitzki, serge_koussevitzky, sergei_koussevitzky, sergei_kusevitski, serguei_kusevitski, sergéi_kusevitski, serguéi_kusevitski	United States conductor (born in Russia) who was noted for performing the works of contemporary composers (1874-1951)	0.629	12	8	NO
wn:07051620n	bn:00051026n	n	lied	kunstlied, lieder, lieds, lied	a German art song of the 19th century for voice and piano	0.702	3	7	YES
wn:11379908n	bn:00049501n	n	Weill, Kurt_Weill	kurt_weill	German composer; collaborated with Bertolt Brecht (1900-1950)	0.508	12	8	NO
wn:07061180n	bn:00049531n	n	kwela	kwela	a kind of danceable music popular among black South Africans; includes a whistle among its instruments	0.707	2	6	YES
wn:11113601n	bn:00049554n	n	Laban, Rudolph_Laban	labán	Hungarian choreographer who developed Labanotation (1879-1958)	0.533	10	6	NO
wn:07376731n	bn:00008595n	n	bark	ladrido	a noise resembling the bark of a dog	0.25	9	7	NO
wn:03633632n	bn:00049690n	n	lagerphone	lagerfono, lagerphone	an Australian percussion instrument used for playing bush music; a long stick with bottle caps nailed loosely to it; played by hitting it with a stick or banging it on the ground	0.536	13	9	YES
wn:07055923n	bn:00049875n	n	landler	landler	music in triple time for dancing the landler	1.0	2	6	YES
wn:07046737n	bn:00050031n	n	larghetto	larghetto	(music) a composition or passage played in a slow tempo slightly faster than largo but slower than adagio	0.763	2	6	YES
wn:00983304a	bn:00105730a	a	larghetto	larghetto	(of tempo) less slow and broad than largo	0.75	99	99	YES
wn:00983401a	bn:00105731a	a	larghissimo	larghissimo	(of tempo) as slow and broad as possible	1.0	99	99	YES
wn:07046543n	bn:00050032n	n	largo	largo	(music) a composition or passage that is to be performed in a slow and dignified manner	0.761	2	6	YES
wn:11118362n	bn:00050089n	n	Lasso, Orlando_di_Lasso, Roland_de_Lassus	lasso, orlando_di_lasso, roland_de_lassus	Belgian composer (1532-1594)	1.0	12	8	NO
wn:10277638n	bn:00052378n	n	lutist, lutanist, lutenist	laudista, tañedor_de_laúd	a musician who plays the lute	0.456	11	7	YES
wn:11172411n	bn:00050232n	n	Melchior, Lauritz_Melchior, Lauritz_Lebrecht_Hommel_Melchior	lauritz_melchior	United States operatic tenor (born in Denmark) noted for his Wagnerian roles (1890-1973)	0.512	13	9	NO
wn:04554406n	bn:00080524n	n	washboard	lavadero, madera_de_lavar, rubboard, tabla_de_lavar, washboard	device consisting of a corrugated surface to scrub clothes on	0.408	11	7	NO
wn:00889883n	bn:00062205n	n	piano_lesson	lección_de_piano	a lesson in playing the piano	0.714	14	12	YES
wn:00387983r	bn:00116099r	r	legato	legato	connecting the notes; in music	1.0	99	99	YES
wn:07028797n	bn:00050617n	n	leitmotiv, leitmotif	leit-motiv, leit_motiv, leitmotif, leitmotiv, motivo	a melodic phrase that accompanies the reappearance of a person or situation (as in Wagner's operas)	0.443	2	6	YES
wn:00983119a	bn:00105877a	a	lentissimo	lentissimo	(of tempo) very slow	1.0	99	99	YES
wn:00983052a	bn:00105878a	a	lento	lento	(of tempo) slow	1.0	99	99	YES
wn:00982602a	bn:00110768a	a	slow	lento	at a slow tempo	1.0	99	99	YES
wn:00388494r	bn:00116103r	r	lento, slowly	lento, lentamente	in music	1.0	99	99	YES
wn:11163859n	bn:00050704n	n	Massine, Leonide_Fedorovitch_Massine, Leonid_Fyodorovich_Myasin	leonid_massine, leonid_miasin, leonide_massine, léonide_massine	French choreographer and ballet dancer (born in Russia) (1895-1979)	0.331	10	6	NO
wn:11246408n	bn:00050710n	n	Price, Leontyne_Price, Mary_Leontyne_Price	leontyne_price, mary_violet_leontyne_price	United States operatic soprano (born 1927)	0.628	13	9	NO
wn:11318967n	bn:00050721n	n	Stokowski, Leopold_Stokowski, Leopold_Antoni_Stanislaw_Stokowski	leopold_stokowski, leopold_stokowsky, stokowski	United States conductor (born in Britain) (1882-1977)	0.661	12	8	NO
wn:11403692n	bn:00050796n	n	Young, Pres_Young, Lester_Willis_Young	lester_willis_young, lester_young, pres_young, press, young	United States jazz tenor saxophonist (1909-1959)	0.643	12	8	NO
wn:07240763n	bn:00051522n	n	litany	letanía	any long and tedious address or recital	0.0	9	7	YES
wn:06372680n	bn:00056669n	n	myth	leyenda, mitica, mitico, mito, mítica, mítico	a traditional story accepted as history; serves to explain the world view of a people	0.006	8	8	NO
wn:07009946n	bn:00012062n	n	script, book, playscript	libreto, musical, trama, guión	a written version of a play or other dramatic composition; used in preparing for a performance	0.312	6	6	YES
wn:07012025n	bn:00050979n	n	libretto	libretto, libreto, guión_teatral	the words of an opera or musical play	0.556	7	7	YES
wn:01727866v	bn:00093915v	v	slur	ligar	play smoothly or legato	0.667	99	99	YES
wn:11001422n	bn:00040554n	n	Gish, Lillian_Gish	lillian_gish	United States film actress who appeared in films by D. W. Griffith (1896-1993)	0.19	12	8	NO
wn:06862399n	bn:00050499n	n	ledger_line, leger_line	línea_adicional	a short line; a notation for extending the range above or below the staff	0.733	6	6	YES
wn:11027127n	bn:00042751n	n	Hampton, Lionel_Hampton	lionel_hampton	United States musician who was the first to use the vibraphone as a jazz instrument (1913-2002)	0.55	12	8	NO
wn:03699280n	bn:00052470n	n	lyre	lira	a harp used by ancient Greeks for accompaniment	0.176	15	11	YES
wn:04983688n	bn:00052474n	n	lyricality, lyricism, songfulness	liricidad, lirismo	the property of being suitable for singing	1.0	8	6	YES
wn:02856460a	bn:00106289a	a	lyric	lírico	relating to or being musical drama	1.0	99	99	YES
wn:01501990a	bn:00106291a	a	lyrical	lírico	suitable for or suggestive of singing	1.0	99	99	YES
wn:01468994a	bn:00106288a	a	lyric	lírico, cantante_lírico	used of a singer or singing voice that is light in volume and modest in range	0.75	99	99	YES
wn:09875786n	bn:00013240n	n	broadcaster	locutor	someone who broadcasts on radio or television	0.6	9	5	NO
wn:00048656n	bn:00007007n	n	attainment	logro	arrival at a new stage	0.5	10	8	NO
wn:03350011n	bn:00034741n	n	first_gear, first, low_gear, low	low, primera	the lowest forward gear ratio in the gear box of a motor vehicle; used to start a car moving	0.731	13	9	NO
wn:03694639n	bn:00049539n	n	LP, L-P	lp, long_play, elepé, disco_larga_duración	a long-playing phonograph record; designed to be played at 33.3 rpm	0.623	15	11	YES
wn:11227101n	bn:00052236n	n	Pavarotti, Luciano_Pavarotti	luciano_pavarotti, luciano_pavaroti, pavarotti	Italian tenor (born in 1935)	0.469	13	9	NO
wn:07059821n	bn:00052630n	n	macumba	macumba	popular dance music of Brazil; derived from the practices of the macumba religious cult	0.25	3	6	YES
wn:11148748n	bn:00052650n	n	Madonna, Madonna_Louise_Ciccone	madonna_louise_veronica_ciccone, madonna	United States pop singer and sex symbol during the 1980s (born in 1958)	0.367	12	8	NO
wn:07052925n	bn:00052656n	n	madrigal	madrigal	an unaccompanied partsong for 2 or 3 voices; follows a strict poetic form	0.559	4	8	YES
wn:10279867n	bn:00052657n	n	madrigalist	madrigalista	a singer of madrigals	1.0	12	8	YES
wn:04595501n	bn:00081395n	n	wire_recorder	magnetófono_de_alambre	an early type of magnetic recorder using iron wire	0.178	13	9	YES
wn:02979074n	bn:00016497n	n	cassette_deck	magnetófono_de_casete	a tape deck for playing and recording cassette tapes	0.25	13	9	YES
wn:04533802n	bn:00079647n	n	videocassette_recorder, VCR	magnetoscopio, videograbadora, video, vídeo	a magnetic tape recorder for recording (and playing back) TV programs	0.079	14	10	NO
wn:11076820n	bn:00047837n	n	Jackson, Mahalia_Jackson	mahalia_jackson	United States singer who did much to popularize gospel music (1911-1972)	0.406	12	8	NO
wn:00338994n	bn:00048523n	n	juggle, juggling	malabarismo	the act of rearranging things to give a misleading impression	1.0	13	11	NO
wn:00538668n	bn:00053074n	n	mambo	mambo	a Latin American dance similar in rhythm to the rumba	0.584	10	8	YES
wn:03716887n	bn:00053161n	n	mandola	mandola	an early type of mandolin	0.695	15	11	YES
wn:03720891n	bn:00053321n	n	maraca	maracas, maraca	a percussion instrument consisting of a hollow gourd containing pebbles or beans; often played in pairs	0.445	13	9	YES
wn:10853244n	bn:00011300n	n	Blitzstein, Marc_Blitzstein	marc_blitzstein, marcus_samuel_blitzstein	United States pianist and composer of operas and musical plays (1905-1964)	0.289	12	8	NO
wn:06864524n	bn:00056473n	n	time_signature, musical_time_signature	marca_de_tiempo, compás, compás_musical, indicación_de_compás	a musical notation indicating the number of beats to a measure and kind of note that takes a beat	0.829	7	7	YES
wn:01726879v	bn:00083265v	v	beat	marcar_el_ritimo	produce a rhythm by striking repeatedly	1.0	99	99	YES
wn:07059028n	bn:00025518n	n	funeral_march, dead_march	marcha_fúnebre	a slow march to be played for funeral processions	0.744	4	7	YES
wn:07058296n	bn:00053355n	n	marching_music, march	marcha_militar, marcha	genre of music written for marching	0.632	2	5	YES
wn:07058468n	bn:00053577n	n	military_march, military_music, martial_music	marcha_militar, música_marcial, música_militar	brisk marching music suitable for troops marching in a military parade	0.463	3	6	YES
wn:07059150n	bn:00080798n	n	wedding_march	marcha_nupcial	a march to be played for a wedding procession	0.75	4	7	YES
wn:07058871n	bn:00064549n	n	processional_march, recessional_march	marcha_procesional	a march to be played for processions	0.75	3	6	YES
wn:10880189n	bn:00014821n	n	Callas, Maria_Callas, Maria_Meneghini_Callas	maria_callas, maria_kalogeropoulos_callas, maria_kalogeropoulos, maría_callas, cecilia_sophia_anna_maria_kalogeropoulos	Greek coloratura soprano (born in the United States) known for her dramatic intensity in operatic roles (1923-1977)	0.453	14	10	NO
wn:08250409n	bn:00053411n	n	mariachi	mariachi	a group of street musicians in Mexico	0.484	9	7	YES
wn:10817458n	bn:00003948n	n	Anderson, Marian_Anderson	marian_anderson	United States contralto noted for her performance of spirituals (1902-1993)	0.313	13	9	NO
wn:11060688n	bn:00044788n	n	Horne, Marilyn_Horne	marilyn_horne	United States operatic mezzo-soprano (born 1934)	0.602	14	10	NO
wn:03721384n	bn:00053421n	n	marimba, xylophone	marimba, xilofón, silófono, xilófono	a percussion instrument with wooden bars tuned to produce a chromatic scale and with resonators; played with small mallets	0.621	13	9	YES
wn:07029247n	bn:00045803n	n	theme, melodic_theme, musical_theme, idea	materia, tema_musical, tema, tema_melódico	(music) melodic subject of a musical composition	0.782	2	6	YES
wn:11255085n	bn:00053900n	n	Ravel, Maurice_Ravel	maurice_ravel, ravel	French composer and exponent of Impressionism (1875-1937)	0.468	12	8	NO
wn:03732020n	bn:00053910n	n	Mauser	mauser, máuser	trademark for a repeating rifle or pistol	0.004	16	12	NO
wn:10867933n	bn:00013453n	n	Bruch, Max_Bruch	max_bruch	German composer (1838-1920)	0.383	12	8	NO
wn:01472098a	bn:00106336a	a	major	mayor	of a scale or mode	1.0	99	99	YES
wn:07056021n	bn:00053966n	n	mazurka	mazurca, mazurka	music composed for dancing the mazurka	0.548	2	6	YES
wn:05711915n	bn:00054258n	n	melody, tonal_pattern	melodía, percepción_musical	the perception of pleasant arrangements of musical notes	0.833	11	9	YES
wn:04983848n	bn:00054256n	n	melodiousness, tunefulness	melodiosidad, melodía	the property of having a melody	1.0	8	6	YES
wn:01502195a	bn:00106586a	a	tuneful, melodious	melodioso	having a musical sound; especially a pleasing tune	1.0	99	99	YES
wn:01501113a	bn:00106584a	a	melodious, melodic, musical	melodioso, melódico	containing or constituting or characterized by pleasing melody	0.9	99	99	YES
wn:02020011a	bn:00105989a	a	lilting, swinging, swingy, tripping	melodioso, ondulante	characterized by a buoyant rhythm	0.75	99	99	YES
wn:15265331n	bn:00054347n	n	meno_mosso	meno_mosso	played at reduced speed; less rapid	0.763	8	6	YES
wn:01472225a	bn:00106767a	a	minor	menor	of a scale or mode	1.0	99	99	YES
wn:02931947a	bn:00106533a	a	mensural, measured, mensurable	mensural	having notes of fixed rhythmic value	1.0	99	99	YES
wn:10311995n	bn:00054558n	n	metalhead	metalero	a fan of heavy metal music	0.667	10	6	YES
wn:03757604n	bn:00054669n	n	metronome	metrónomo	clicking pendulum indicates the exact tempo of a piece of music	0.401	13	9	YES
